sc.1,sc.2,sc.3,sc.4,connect,efficacy,support,press,stress,depression,dep_risk,gender,race,grade,family
3,3,3,3,12,37,10,20,30,17,Low,Female,White,    12,One
3,3,2,2,10,41,5,20,31,17,Low,Male,Other,     9,One
2,1,3,3,9,29,9,16,26,17,Low,Female,White,    12,One
3,3,3,3,12,50,16,31,24,17,Low,Female,White,    11,One
3,1,1,1,6,37,7,13,34,17,Low,Male,White,    10,Both
2,1,1,1,5,32,14,17,42,17,Low,Female,White,    12,One
3,3,3,2,11,44,17,30,29,18,Low,Male,White,     9,Both
4,3,3,3,13,42,11,35,11,18,Low,Female,White,    11,Both
2,2,3,2,9,42,10,24,27,18,Low,Male,White,    12,Both
3,3,3,3,12,44,13,26,18,18,Low,Female,Other,    11,One
3,3,2,2,10,40,6,30,24,18,Low,Female,Other,     9,One
2,2,2,2,8,34,2,15,25,18,Low,Female,White,    11,One
3,1,2,2,8,42,4,16,22,18,Low,Female,White,    12,Both
4,4,4,4,16,47,14,39,10,18,Low,Female,Other,     9,One
3,3,3,3,12,30,9,28,31,18,Low,Male,White,    12,Both
4,2,3,4,13,31,8,25,21,18,Low,Male,White,    12,One
4,2,1,3,10,29,9,25,14,18,Low,Male,Other,    12,One
3,2,3,2,10,40,21,26,21,18,Low,Female,White,    11,Both
4,3,4,3,14,11,19,8,13,18,Low,Female,White,    10,One
3,2,3,3,11,41,22,30,37,18,Low,Female,White,    10,Both
4,4,4,3,15,39,15,32,21,19,Low,Male,White,    12,Other
3,3,3,2,11,44,10,31,29,19,Low,Female,White,     9,One
1,1,1,1,4,32,11,26,21,19,Low,Male,Other,    10,Other
3,3,4,3,13,43,17,26,48,19,Low,Male,Other,    10,Both
3,1,3,2,9,38,10,22,26,19,Low,Female,Other,    11,One
2,2,2,3,9,33,7,28,35,19,Low,Female,White,    11,One
3,2,3,1,9,29,10,17,23,19,Low,Male,Other,     9,Both
3,2,3,3,11,23,13,26,26,19,Low,Female,Other,    11,Both
4,4,4,4,16,41,16,32,29,19,Low,Male,Other,    11,One
2,3,3,3,11,34,13,23,11,19,Low,Female,White,    12,One
2,2,2,2,8,38,15,23,32,19,Low,Female,White,    10,Both
2,3,3,2,10,44,19,34,30,19,Low,Male,White,    12,One
3,3,3,3,12,38,5,25,7,19,Low,Female,Other,    12,One
1,1,1,2,5,32,13,23,22,20,Low,Female,White,    11,One
3,3,4,3,13,32,11,28,40,20,Low,Female,White,    11,Both
3,2,2,2,9,30,7,21,34,20,Low,Male,White,    11,Both
3,4,3,3,13,41,12,34,15,20,Low,Female,Other,     9,One
3,2,2,1,8,25,11,12,43,20,Low,Male,White,    12,Both
1,1,1,3,6,32,5,8,15,20,Low,Female,White,    10,One
3,3,3,3,12,48,14,29,26,20,Low,Female,Other,     9,Both
3,3,2,3,11,37,12,26,27,20,Low,Female,White,    10,One
1,3,1,3,8,40,9,35,16,20,Low,Male,Other,    11,Other
2,1,1,1,5,32,12,17,37,20,Low,Female,White,    10,Both
3,1,1,1,6,31,4,20,27,20,Low,Male,White,    12,Other
3,2,2,3,10,32,14,24,41,20,Low,Male,White,    11,One
3,3,2,3,11,33,9,31,35,20,Low,Female,Other,     9,One
3,3,2,3,11,30,13,26,23,20,Low,Male,White,    11,Both
3,3,2,3,11,30,13,26,23,20,Low,Male,White,    11,Both
2,2,2,2,8,35,7,25,9,21,Low,Female,White,    11,Both
2,3,2,1,8,37,14,21,33,21,Low,Female,White,    10,One
2,1,1,4,8,25,7,16,32,21,Low,Male,Other,    11,Other
3,2,3,3,11,37,6,24,19,21,Low,Female,White,    10,Both
3,3,3,3,12,41,19,28,32,21,Low,Female,Other,    11,One
3,3,3,3,12,34,15,24,19,21,Low,Female,White,     9,Both
3,2,3,2,10,34,8,23,38,21,Low,Male,White,    10,Both
2,3,1,1,7,38,7,17,15,21,Low,Male,White,    11,One
1,1,1,1,4,37,11,19,27,21,Low,Male,White,    10,One
1,3,1,3,8,29,5,24,28,21,Low,Female,Other,    12,Other
2,2,2,2,8,33,13,31,38,21,Low,Female,White,    11,One
3,3,3,3,12,39,13,27,26,21,Low,Male,White,    10,One
3,3,3,2,11,42,7,34,18,21,Low,Male,Other,     9,One
2,2,2,3,9,40,5,23,19,21,Low,Female,White,    10,Both
1,1,1,1,4,31,3,18,18,21,Low,Female,White,     9,One
1,3,3,2,9,43,11,24,29,21,Low,Male,Other,     9,Other
2,2,2,2,8,44,17,24,39,22,High,Female,White,    10,Both
3,3,4,2,12,36,10,23,26,22,High,Male,White,     9,One
2,3,3,3,11,40,13,31,38,22,High,Female,White,    12,Both
3,3,4,3,13,39,12,28,35,22,High,Male,White,    11,One
3,1,1,2,7,25,5,17,42,23,High,Male,White,    11,One
2,2,3,3,10,44,9,20,24,23,High,Male,White,     9,One
3,3,3,3,12,24,7,22,32,23,High,Female,White,     9,Both
2,3,2,3,10,34,1,29,32,23,High,Female,White,    10,Both
2,2,2,2,8,28,9,24,35,23,High,Male,Other,    12,One
3,3,3,1,10,32,11,23,32,23,High,Male,White,    12,Both
3,2,2,3,10,39,11,23,16,23,High,Female,White,    10,One
3,2,2,2,9,27,5,24,36,23,High,Female,White,     9,One
3,2,2,3,10,43,11,24,28,23,High,Female,White,    12,Other
2,2,2,2,8,30,1,17,30,23,High,Female,White,    11,One
2,3,3,3,11,36,7,18,27,23,High,Female,White,    12,Both
3,2,2,1,8,43,18,18,33,23,High,Male,White,    10,Both
3,1,2,3,9,34,16,13,33,23,High,Male,White,    12,Both
3,4,4,2,13,42,13,30,40,23,High,Female,Other,    11,One
4,4,4,4,16,41,17,27,33,23,High,Female,White,     9,One
3,3,3,3,12,37,11,29,30,24,High,Male,Other,    10,One
3,3,2,1,9,36,15,28,19,24,High,Female,Other,    12,One
4,2,2,3,11,24,11,22,26,24,High,Male,White,    12,Both
3,3,3,3,12,30,4,24,20,24,High,Male,Other,     9,One
3,3,3,4,13,33,10,20,33,24,High,Female,White,     9,Both
3,3,3,2,11,38,14,29,19,24,High,Male,White,    10,One
3,3,4,3,13,46,15,28,10,24,High,Female,Other,    11,Both
3,3,3,3,12,31,9,32,10,24,High,Male,White,    12,Both
3,4,3,3,13,43,12,28,28,24,High,Female,Other,    11,Both
2,3,2,3,10,35,9,18,0,24,High,Male,Other,    12,One
3,2,2,3,10,28,7,19,23,24,High,Male,White,     9,One
3,2,3,1,9,34,9,27,27,24,High,Male,White,    11,One
3,1,1,3,8,40,12,25,33,24,High,Female,White,    12,Both
2,3,3,2,10,46,17,19,35,24,High,Female,White,    12,Both
2,3,2,3,10,40,11,32,20,24,High,Male,White,    10,One
3,3,4,3,13,40,8,28,28,24,High,Female,White,    10,Other
4,4,4,4,16,50,15,38,3,25,High,Female,Other,    10,One
2,3,2,1,8,38,14,28,13,25,High,Female,Other,    12,One
2,3,2,3,10,34,9,22,20,25,High,Female,Other,    10,One
2,2,2,2,8,32,7,23,21,25,High,Male,White,    12,One
